chic_feature	atac_feature	rna_feature
840111_ENSG00000138172_CALHM2	Peak_174465	ENSG00000138172_CALHM2
840112_ENSG00000138172_CALHM2	Peak_174461	ENSG00000138172_CALHM2
840112_ENSG00000138172_CALHM2	Peak_174464	ENSG00000138172_CALHM2
840112_ENSG00000138172_CALHM2	Peak_174465	ENSG00000138172_CALHM2
840113_ENSG00000138172_CALHM2	Peak_174461	ENSG00000138172_CALHM2
840113_ENSG00000138172_CALHM2	Peak_174464	ENSG00000138172_CALHM2
840113_ENSG00000138172_CALHM2	Peak_174465	ENSG00000138172_CALHM2
840115_ENSG00000138172_CALHM2	Peak_174461	ENSG00000138172_CALHM2
840115_ENSG00000138172_CALHM2	Peak_174464	ENSG00000138172_CALHM2
840115_ENSG00000138172_CALHM2	Peak_174465	ENSG00000138172_CALHM2
840121_ENSG00000138172_CALHM2	Peak_174464	ENSG00000138172_CALHM2
840121_ENSG00000138172_CALHM2	Peak_174465	ENSG00000138172_CALHM2
840124_ENSG00000138172_CALHM2	Peak_174464	ENSG00000138172_CALHM2
840124_ENSG00000138172_CALHM2	Peak_174465	ENSG00000138172_CALHM2
840136_ENSG00000138172_CALHM2		ENSG00000138172_CALHM2
840138_ENSG00000138172_CALHM2		ENSG00000138172_CALHM2
840139_ENSG00000138172_CALHM2		ENSG00000138172_CALHM2
840692_ENSG00000107957_SH3PXD2A	Peak_174498	ENSG00000107957_SH3PXD2A
856996_ENSG00000138166_DUSP5	Peak_174774	ENSG00000138166_DUSP5
611782_ENSG00000048740_CELF2	Peak_168156	ENSG00000048740_CELF2
861242_ENSG00000119927_GPAM		ENSG00000119927_GPAM
861244_ENSG00000119927_GPAM		ENSG00000119927_GPAM
614359_ENSG00000151465_CDC123	Peak_168272	ENSG00000151465_CDC123
614364_ENSG00000151465_CDC123		ENSG00000151465_CDC123
614368_ENSG00000151465_CDC123		ENSG00000151465_CDC123
614373_ENSG00000181192_DHTKD1		ENSG00000181192_DHTKD1
614375_ENSG00000151465_CDC123		ENSG00000151465_CDC123
614378_ENSG00000151465_CDC123		ENSG00000151465_CDC123
614392_ENSG00000151465_CDC123		ENSG00000151465_CDC123
614393_ENSG00000151465_CDC123		ENSG00000151465_CDC123
614399_ENSG00000151465_CDC123		ENSG00000151465_CDC123
614405_ENSG00000151465_CDC123		ENSG00000151465_CDC123
614405_ENSG00000165609_NUDT5		ENSG00000165609_NUDT5
614406_ENSG00000151465_CDC123		ENSG00000151465_CDC123
614406_ENSG00000165609_NUDT5		ENSG00000165609_NUDT5
614408_ENSG00000151465_CDC123		ENSG00000151465_CDC123
614408_ENSG00000165609_NUDT5		ENSG00000165609_NUDT5
614410_ENSG00000151465_CDC123		ENSG00000151465_CDC123
614410_ENSG00000165609_NUDT5		ENSG00000165609_NUDT5
614413_ENSG00000151465_CDC123		ENSG00000151465_CDC123
614413_ENSG00000165609_NUDT5		ENSG00000165609_NUDT5
614420_ENSG00000151465_CDC123		ENSG00000151465_CDC123
614420_ENSG00000165609_NUDT5		ENSG00000165609_NUDT5
614424_ENSG00000151465_CDC123	Peak_168273	ENSG00000151465_CDC123
614424_ENSG00000165609_NUDT5	Peak_168273	ENSG00000165609_NUDT5
614426_ENSG00000151465_CDC123	Peak_168273	ENSG00000151465_CDC123
614426_ENSG00000165609_NUDT5	Peak_168273	ENSG00000165609_NUDT5
614427_ENSG00000151465_CDC123	Peak_168273	ENSG00000151465_CDC123
614427_ENSG00000165609_NUDT5	Peak_168273	ENSG00000165609_NUDT5
614430_ENSG00000151465_CDC123	Peak_168273	ENSG00000151465_CDC123
614430_ENSG00000165609_NUDT5	Peak_168273	ENSG00000165609_NUDT5
614437_ENSG00000151465_CDC123	Peak_168273	ENSG00000151465_CDC123
614437_ENSG00000165609_NUDT5	Peak_168273	ENSG00000165609_NUDT5
614439_ENSG00000151465_CDC123	Peak_168273	ENSG00000151465_CDC123
614439_ENSG00000165609_NUDT5	Peak_168273	ENSG00000165609_NUDT5
614442_ENSG00000151465_CDC123	Peak_168273	ENSG00000151465_CDC123
614442_ENSG00000165609_NUDT5	Peak_168273	ENSG00000165609_NUDT5
614446_ENSG00000151465_CDC123	Peak_168273	ENSG00000151465_CDC123
614446_ENSG00000165609_NUDT5	Peak_168273	ENSG00000165609_NUDT5
614448_ENSG00000151465_CDC123	Peak_168273	ENSG00000151465_CDC123
614448_ENSG00000165609_NUDT5	Peak_168273	ENSG00000165609_NUDT5
614450_ENSG00000151465_CDC123	Peak_168273	ENSG00000151465_CDC123
614450_ENSG00000165609_NUDT5	Peak_168273	ENSG00000165609_NUDT5
614461_ENSG00000151465_CDC123	Peak_168273	ENSG00000151465_CDC123
